from,to,
3500070500,35000,
2500007000,25000,
2000071000,20000,
2900037000,29000,
4800005000,48000,
100051000,1000,
2700058000,27000,
1800036003,18000,
2800036000,28000,
1500071550,15000,
4200032800,42000,
3400074000,34000,
2300002100,23000,
5000046000,50000,
3300014200,33000,
5100067000,51000,
3800007200,38000,
4500016000,45000,
1900021000,19000,
2400001600,24000,
2600046000,26000,
3900018000,39000,
900037000,9000,
1700072000,17000,
200036400,2000,
1600008830,16000,
3000035600,30000,
600064000,6000,
4700052006,47000,
5300051300,53000,
4100064900,41000,
5400014600,54000,
2200055000,22000,
5600013900,56000,
500041000,5000,
3600001000,36000,
800020000,8000,
4900067000,49000,
3200009700,32000,
1000021200,10000,
4000055000,40000,
3700055000,37000,
1300004000,13000,
4600049600,46000,
5500048000,55000,
3100028000,31000,
2100028900,21000,
4400059000,44000,
1200070600,12000,
400055000,4000,
